age,education-num,race,sex,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,native-country,income-per-year
53.0,9.0,1.0,0.0,0.0,0.0,40.0,2,0,2,0,5,38,1.0
49.0,10.0,1.0,1.0,0.0,0.0,50.0,3,0,2,3,0,38,1.0
19.0,10.0,1.0,1.0,0.0,0.0,32.0,2,0,4,9,3,38,0.0
31.0,13.0,0.0,0.0,0.0,0.0,40.0,2,0,5,11,3,38,0.0
29.0,13.0,1.0,1.0,0.0,0.0,70.0,4,0,2,11,0,38,1.0
23.0,10.0,1.0,1.0,0.0,0.0,40.0,2,0,4,6,1,38,0.0
79.0,10.0,1.0,1.0,0.0,0.0,20.0,2,0,2,9,2,38,0.0
27.0,9.0,1.0,1.0,0.0,0.0,40.0,2,0,4,7,3,25,0.0
40.0,12.0,1.0,1.0,0.0,0.0,40.0,2,0,2,0,0,38,0.0
18.0,7.0,1.0,0.0,0.0,0.0,22.0,2,0,4,7,3,38,0.0
31.0,4.0,1.0,1.0,0.0,0.0,40.0,1,0,2,4,0,38,0.0
18.0,9.0,1.0,1.0,0.0,0.0,30.0,2,0,4,11,1,38,0.0
52.0,13.0,1.0,1.0,0.0,0.0,40.0,2,0,2,7,0,4,0.0
46.0,9.0,1.0,0.0,0.0,0.0,40.0,2,0,2,7,5,38,0.0
59.0,9.0,1.0,1.0,0.0,0.0,48.0,2,0,2,11,0,38,0.0
44.0,9.0,1.0,0.0,14344.0,0.0,40.0,2,0,0,2,1,38,1.0
53.0,9.0,1.0,0.0,0.0,0.0,35.0,2,0,0,11,3,38,0.0
49.0,9.0,1.0,1.0,0.0,0.0,40.0,1,0,2,10,0,38,1.0
33.0,14.0,1.0,1.0,0.0,0.0,50.0,2,0,2,9,0,38,0.0
30.0,5.0,1.0,1.0,0.0,0.0,40.0,2,0,4,11,1,38,0.0
43.0,16.0,1.0,0.0,0.0,0.0,50.0,0,0,4,9,1,38,1.0
57.0,11.0,1.0,1.0,0.0,0.0,40.0,2,0,2,9,0,38,0.0
37.0,10.0,1.0,0.0,0.0,0.0,40.0,2,0,0,2,4,38,0.0
28.0,10.0,0.0,0.0,0.0,0.0,25.0,2,0,0,6,4,38,0.0
34.0,13.0,1.0,1.0,0.0,0.0,40.0,1,0,2,10,0,38,1.0
29.0,10.0,1.0,1.0,0.0,0.0,50.0,1,0,4,5,1,38,0.0
48.0,16.0,1.0,1.0,0.0,1902.0,60.0,4,0,2,9,0,38,1.0
37.0,10.0,1.0,1.0,0.0,0.0,48.0,2,0,2,11,0,38,1.0
48.0,12.0,1.0,0.0,0.0,0.0,40.0,2,0,0,3,4,8,0.0
32.0,9.0,0.0,1.0,0.0,0.0,40.0,0,0,4,7,3,38,0.0
76.0,14.0,1.0,1.0,0.0,0.0,40.0,2,0,2,3,0,38,1.0
44.0,13.0,1.0,1.0,15024.0,0.0,60.0,2,0,2,3,0,38,1.0
47.0,14.0,1.0,0.0,0.0,0.0,50.0,4,0,4,9,1,38,0.0
20.0,10.0,1.0,0.0,0.0,0.0,40.0,2,0,4,12,3,38,0.0
29.0,9.0,1.0,1.0,0.0,0.0,40.0,2,0,4,2,1,38,0.0
32.0,9.0,1.0,1.0,7688.0,0.0,40.0,3,0,2,2,0,38,1.0
30.0,7.0,1.0,1.0,0.0,0.0,40.0,2,0,4,5,3,38,0.0
31.0,9.0,1.0,0.0,0.0,0.0,40.0,1,0,4,0,1,38,0.0
42.0,9.0,1.0,1.0,0.0,0.0,40.0,2,0,2,5,0,38,0.0
24.0,13.0,1.0,1.0,0.0,0.0,40.0,2,0,4,11,2,38,0.0
38.0,15.0,1.0,1.0,0.0,0.0,40.0,2,0,2,9,0,38,1.0
56.0,9.0,1.0,1.0,0.0,1887.0,50.0,4,0,2,7,0,1,1.0
28.0,10.0,1.0,0.0,4064.0,0.0,25.0,2,0,2,11,5,38,0.0
36.0,9.0,1.0,0.0,0.0,0.0,40.0,2,0,4,6,3,38,0.0
53.0,5.0,1.0,1.0,0.0,0.0,50.0,2,0,2,5,0,38,0.0
56.0,10.0,1.0,1.0,0.0,0.0,50.0,3,0,2,11,0,38,0.0
49.0,11.0,0.0,1.0,0.0,0.0,40.0,1,0,2,2,0,38,1.0
55.0,10.0,1.0,1.0,0.0,0.0,56.0,2,0,2,11,0,38,0.0
22.0,9.0,1.0,1.0,0.0,0.0,41.0,2,0,4,2,1,38,0.0
21.0,10.0,1.0,0.0,0.0,0.0,40.0,2,0,4,7,3,38,0.0
40.0,13.0,1.0,1.0,0.0,0.0,60.0,2,0,2,3,0,38,0.0
30.0,13.0,0.0,1.0,0.0,0.0,40.0,2,0,4,3,3,10,0.0
29.0,13.0,1.0,1.0,0.0,0.0,50.0,5,0,2,9,0,38,1.0
19.0,10.0,0.0,1.0,0.0,0.0,35.0,2,0,4,7,3,38,0.0
47.0,13.0,1.0,0.0,0.0,0.0,40.0,2,0,2,3,5,38,1.0
20.0,10.0,1.0,0.0,0.0,1719.0,28.0,2,0,4,0,3,38,0.0
31.0,12.0,1.0,1.0,0.0,0.0,40.0,2,0,2,0,0,38,1.0
39.0,10.0,1.0,1.0,0.0,0.0,40.0,2,0,0,2,1,38,0.0
28.0,12.0,1.0,0.0,0.0,0.0,60.0,2,0,4,11,1,38,0.0
24.0,9.0,1.0,0.0,0.0,1762.0,40.0,2,0,4,7,1,38,0.0
38.0,9.0,1.0,1.0,4386.0,0.0,35.0,4,0,2,2,0,38,0.0
37.0,13.0,1.0,1.0,0.0,0.0,50.0,2,0,2,11,0,38,0.0
46.0,12.0,0.0,0.0,0.0,0.0,36.0,2,0,0,12,1,38,0.0
38.0,14.0,1.0,1.0,0.0,0.0,40.0,0,0,2,9,0,19,1.0
43.0,9.0,1.0,1.0,0.0,0.0,60.0,4,0,2,2,0,38,0.0
27.0,11.0,1.0,0.0,0.0,0.0,35.0,2,0,2,0,5,38,0.0
20.0,10.0,1.0,1.0,0.0,0.0,20.0,2,0,4,11,3,38,0.0
49.0,10.0,0.0,1.0,0.0,0.0,40.0,2,0,2,2,0,38,1.0
61.0,9.0,1.0,1.0,0.0,0.0,40.0,3,0,2,2,0,38,0.0
27.0,10.0,1.0,0.0,0.0,0.0,40.0,2,0,4,11,3,38,0.0
19.0,10.0,1.0,1.0,0.0,0.0,30.0,2,0,4,7,3,25,0.0
45.0,11.0,1.0,0.0,0.0,1564.0,40.0,2,0,4,9,1,38,1.0
70.0,10.0,1.0,1.0,0.0,0.0,40.0,2,0,4,12,2,38,0.0
31.0,9.0,0.0,0.0,0.0,0.0,30.0,2,0,4,13,4,38,0.0
22.0,10.0,1.0,1.0,0.0,0.0,24.0,2,0,2,7,0,38,0.0
36.0,9.0,1.0,0.0,0.0,0.0,24.0,2,0,6,7,4,38,0.0
64.0,7.0,1.0,1.0,0.0,2179.0,40.0,2,0,2,2,0,38,0.0
47.0,10.0,1.0,0.0,0.0,0.0,38.0,1,0,0,0,4,25,0.0
34.0,9.0,1.0,0.0,0.0,0.0,40.0,2,0,4,0,1,38,0.0
33.0,13.0,0.0,0.0,0.0,0.0,40.0,2,0,4,3,2,29,0.0
21.0,9.0,1.0,1.0,0.0,0.0,35.0,2,0,4,2,3,38,0.0
48.0,9.0,1.0,1.0,0.0,0.0,46.0,2,0,2,2,0,38,0.0
23.0,13.0,1.0,1.0,0.0,0.0,40.0,2,0,4,5,1,38,0.0
71.0,10.0,0.0,1.0,0.0,1816.0,2.0,4,0,5,11,4,38,0.0
29.0,9.0,1.0,1.0,0.0,0.0,60.0,2,0,0,2,1,38,0.0
42.0,13.0,0.0,1.0,0.0,0.0,50.0,2,0,5,7,2,38,0.0
25.0,9.0,1.0,0.0,0.0,0.0,40.0,2,0,4,7,4,38,0.0
44.0,14.0,0.0,0.0,0.0,0.0,40.0,3,0,0,3,4,38,0.0
28.0,9.0,0.0,0.0,0.0,0.0,40.0,2,0,4,3,1,8,0.0
45.0,14.0,1.0,1.0,0.0,0.0,40.0,4,0,2,11,0,38,1.0
36.0,10.0,1.0,0.0,0.0,0.0,40.0,2,0,0,7,4,25,0.0
39.0,12.0,1.0,1.0,0.0,0.0,42.0,0,0,4,3,1,38,0.0
46.0,14.0,1.0,1.0,0.0,0.0,40.0,5,0,6,10,4,38,0.0
18.0,7.0,1.0,1.0,0.0,0.0,16.0,2,0,4,5,3,38,0.0
66.0,11.0,1.0,0.0,0.0,0.0,20.0,1,0,6,9,1,38,0.0
27.0,9.0,1.0,1.0,0.0,1980.0,40.0,2,0,4,7,1,38,0.0
28.0,9.0,1.0,1.0,0.0,0.0,40.0,5,0,2,10,0,38,0.0
51.0,10.0,1.0,1.0,0.0,1977.0,40.0,2,0,2,11,0,38,1.0
27.0,13.0,1.0,1.0,0.0,0.0,50.0,2,0,4,2,1,38,0.0
28.0,13.0,1.0,1.0,0.0,0.0,40.0,5,0,2,9,0,38,1.0
27.0,9.0,1.0,0.0,0.0,0.0,25.0,2,0,3,11,4,38,0.0
21.0,9.0,0.0,1.0,0.0,0.0,40.0,2,0,4,2,3,38,0.0
34.0,9.0,0.0,1.0,0.0,0.0,40.0,2,0,4,5,1,38,0.0
18.0,9.0,1.0,1.0,0.0,0.0,12.0,2,0,4,7,3,38,0.0
33.0,13.0,1.0,1.0,0.0,0.0,65.0,2,0,2,9,0,38,0.0
44.0,10.0,0.0,1.0,0.0,0.0,38.0,1,0,2,3,0,38,1.0
43.0,10.0,1.0,0.0,0.0,0.0,40.0,2,0,0,0,1,38,0.0
30.0,10.0,0.0,1.0,0.0,0.0,45.0,2,0,4,2,1,38,0.0
40.0,4.0,1.0,1.0,0.0,0.0,40.0,2,0,2,6,0,25,1.0
37.0,10.0,1.0,1.0,0.0,0.0,42.0,0,0,2,0,0,38,1.0
34.0,9.0,0.0,1.0,0.0,0.0,40.0,2,0,2,0,0,38,0.0
41.0,13.0,1.0,0.0,0.0,0.0,40.0,4,0,0,3,1,38,0.0
31.0,14.0,1.0,0.0,0.0,0.0,50.0,2,0,2,9,5,38,0.0
58.0,16.0,1.0,1.0,0.0,0.0,1.0,5,0,2,9,0,38,1.0
38.0,10.0,0.0,0.0,0.0,0.0,28.0,2,0,0,6,1,38,0.0
24.0,10.0,1.0,1.0,0.0,0.0,40.0,2,0,2,6,0,38,0.0
41.0,13.0,0.0,1.0,0.0,0.0,40.0,1,0,2,2,0,38,0.0
47.0,10.0,1.0,1.0,0.0,0.0,45.0,2,0,2,12,0,38,0.0
41.0,13.0,1.0,1.0,0.0,0.0,24.0,0,0,2,12,0,38,0.0
23.0,3.0,1.0,1.0,0.0,0.0,40.0,2,0,2,13,2,25,0.0
36.0,10.0,1.0,1.0,0.0,0.0,40.0,2,0,0,2,1,38,0.0
40.0,14.0,1.0,0.0,14084.0,0.0,55.0,0,0,4,3,1,38,1.0
35.0,14.0,1.0,1.0,7298.0,0.0,40.0,2,0,2,9,2,38,1.0
24.0,9.0,1.0,1.0,0.0,0.0,40.0,4,0,4,11,1,38,0.0
26.0,14.0,1.0,0.0,0.0,1876.0,40.0,2,0,4,9,1,38,0.0
51.0,13.0,1.0,1.0,0.0,0.0,50.0,2,0,2,3,0,38,1.0
42.0,10.0,1.0,0.0,0.0,1340.0,40.0,1,0,4,9,1,38,0.0
37.0,9.0,1.0,0.0,0.0,0.0,35.0,5,0,0,0,4,38,0.0
18.0,7.0,1.0,0.0,0.0,0.0,40.0,2,0,4,11,3,38,0.0
36.0,13.0,0.0,1.0,7298.0,0.0,36.0,2,0,2,7,0,38,1.0
35.0,9.0,1.0,1.0,0.0,0.0,60.0,2,0,0,2,1,38,0.0
58.0,9.0,1.0,0.0,15024.0,0.0,35.0,3,0,2,11,5,38,1.0
17.0,7.0,1.0,0.0,0.0,0.0,12.0,2,0,4,11,3,38,0.0
44.0,9.0,0.0,1.0,0.0,0.0,40.0,1,0,2,13,0,38,0.0
37.0,9.0,1.0,1.0,0.0,0.0,40.0,2,0,2,2,0,38,1.0
35.0,10.0,0.0,0.0,0.0,0.0,40.0,2,0,4,11,1,38,0.0
60.0,9.0,0.0,1.0,0.0,0.0,40.0,2,0,2,2,0,38,0.0
54.0,4.0,1.0,1.0,0.0,0.0,40.0,3,0,2,6,0,38,1.0
37.0,13.0,0.0,1.0,0.0,0.0,60.0,2,0,4,3,1,38,1.0
50.0,12.0,1.0,0.0,0.0,0.0,40.0,2,0,0,11,1,38,0.0
38.0,13.0,1.0,1.0,0.0,0.0,50.0,2,0,2,11,0,30,0.0
45.0,13.0,1.0,1.0,0.0,0.0,55.0,2,0,2,9,0,38,0.0
25.0,6.0,1.0,1.0,0.0,0.0,40.0,2,0,4,2,1,38,0.0
31.0,10.0,1.0,1.0,0.0,0.0,40.0,2,0,2,5,0,38,0.0
90.0,9.0,0.0,1.0,0.0,2206.0,40.0,2,0,4,7,1,38,0.0
54.0,9.0,0.0,1.0,0.0,0.0,20.0,2,0,2,0,0,38,0.0
53.0,1.0,1.0,0.0,0.0,0.0,35.0,1,0,4,6,1,38,0.0
18.0,9.0,1.0,0.0,0.0,0.0,40.0,2,0,4,11,3,38,0.0
66.0,9.0,1.0,1.0,1409.0,0.0,50.0,4,0,2,4,0,38,0.0
75.0,11.0,1.0,0.0,0.0,0.0,20.0,2,0,6,0,1,3,0.0
65.0,9.0,1.0,0.0,0.0,0.0,40.0,2,0,0,0,1,38,0.0
35.0,7.0,0.0,1.0,3674.0,0.0,40.0,2,0,5,13,1,38,0.0
41.0,9.0,0.0,0.0,0.0,0.0,38.0,2,0,0,11,4,38,0.0
25.0,10.0,1.0,1.0,0.0,0.0,42.0,2,0,4,0,1,38,0.0
33.0,10.0,0.0,0.0,0.0,0.0,40.0,2,0,0,2,2,38,0.0
28.0,15.0,1.0,1.0,0.0,0.0,55.0,2,0,4,9,1,38,1.0
59.0,9.0,1.0,1.0,0.0,0.0,40.0,5,0,2,7,0,38,0.0
40.0,10.0,1.0,0.0,0.0,0.0,38.0,5,0,4,0,1,38,0.0
41.0,13.0,1.0,1.0,0.0,0.0,50.0,2,0,2,3,0,19,1.0
38.0,14.0,1.0,1.0,0.0,0.0,70.0,1,0,2,3,0,38,1.0
23.0,9.0,1.0,1.0,0.0,0.0,40.0,2,0,4,13,3,38,0.0
40.0,13.0,1.0,1.0,0.0,0.0,40.0,2,0,2,9,0,38,1.0
41.0,9.0,1.0,0.0,0.0,0.0,20.0,4,0,2,7,5,38,0.0
24.0,12.0,1.0,1.0,0.0,0.0,50.0,5,0,2,10,0,38,0.0
38.0,10.0,1.0,1.0,0.0,1741.0,40.0,2,0,0,2,1,38,0.0
58.0,9.0,1.0,1.0,0.0,0.0,45.0,2,0,2,0,0,38,1.0
32.0,9.0,1.0,0.0,0.0,0.0,34.0,2,0,4,7,1,38,0.0
40.0,12.0,1.0,1.0,0.0,1977.0,60.0,2,0,2,12,0,38,1.0
41.0,15.0,1.0,0.0,0.0,0.0,40.0,2,0,2,9,5,38,1.0
42.0,13.0,0.0,0.0,0.0,0.0,40.0,2,0,2,0,5,38,0.0
59.0,6.0,0.0,0.0,0.0,0.0,30.0,1,0,6,7,4,38,0.0
19.0,10.0,1.0,1.0,0.0,0.0,40.0,1,0,4,0,3,38,0.0
58.0,10.0,1.0,1.0,0.0,0.0,20.0,2,0,4,13,1,38,0.0
42.0,9.0,0.0,1.0,0.0,0.0,40.0,4,0,2,4,0,0,1.0
20.0,9.0,1.0,0.0,0.0,0.0,40.0,2,0,4,7,3,38,0.0
32.0,9.0,1.0,0.0,0.0,0.0,30.0,2,0,5,7,1,38,0.0
45.0,11.0,1.0,0.0,0.0,0.0,45.0,2,0,6,3,1,38,0.0
50.0,4.0,1.0,1.0,0.0,0.0,40.0,2,0,0,2,1,38,0.0
36.0,13.0,1.0,0.0,0.0,0.0,40.0,2,0,0,9,3,38,0.0
45.0,9.0,1.0,1.0,0.0,0.0,60.0,2,0,2,11,0,38,0.0
17.0,7.0,1.0,1.0,0.0,0.0,12.0,2,0,4,7,3,38,0.0
59.0,10.0,1.0,1.0,4064.0,0.0,40.0,2,0,2,11,0,38,0.0
26.0,7.0,1.0,1.0,0.0,0.0,40.0,2,0,2,2,0,38,0.0
37.0,10.0,0.0,1.0,0.0,0.0,75.0,3,0,2,3,0,36,1.0
64.0,9.0,1.0,1.0,0.0,0.0,40.0,2,0,2,3,0,38,1.0
33.0,13.0,1.0,0.0,0.0,0.0,45.0,2,0,4,9,1,38,0.0
33.0,9.0,1.0,0.0,0.0,0.0,40.0,2,0,2,2,5,38,1.0
61.0,9.0,1.0,1.0,0.0,0.0,40.0,2,0,2,3,0,38,1.0
17.0,5.0,1.0,1.0,1055.0,0.0,24.0,2,0,4,7,3,38,0.0
50.0,14.0,1.0,1.0,2407.0,0.0,98.0,4,0,2,4,0,38,0.0
27.0,14.0,1.0,1.0,0.0,0.0,35.0,1,0,4,9,3,38,0.0
30.0,9.0,1.0,0.0,0.0,0.0,40.0,2,0,0,9,3,38,0.0
43.0,9.0,0.0,1.0,0.0,0.0,40.0,2,0,2,5,0,38,0.0
44.0,10.0,1.0,1.0,7298.0,0.0,40.0,2,0,2,2,0,38,1.0
35.0,10.0,1.0,0.0,0.0,0.0,40.0,2,0,4,3,1,38,0.0
25.0,10.0,1.0,0.0,0.0,0.0,40.0,2,0,4,12,3,38,0.0
24.0,10.0,1.0,0.0,7298.0,0.0,48.0,2,0,2,6,5,38,1.0
22.0,13.0,1.0,0.0,0.0,0.0,15.0,2,0,4,9,1,10,0.0
42.0,10.0,1.0,1.0,5178.0,0.0,40.0,1,0,2,2,0,38,1.0
34.0,12.0,0.0,0.0,0.0,0.0,45.0,2,0,0,11,4,38,0.0
60.0,13.0,1.0,0.0,0.0,0.0,42.0,2,0,0,9,1,38,0.0
21.0,9.0,1.0,1.0,0.0,0.0,40.0,2,0,4,5,3,38,0.0
57.0,14.0,1.0,1.0,15024.0,0.0,40.0,0,0,2,11,0,38,1.0
41.0,15.0,1.0,1.0,0.0,0.0,60.0,2,0,2,9,0,38,1.0
50.0,10.0,1.0,1.0,0.0,0.0,45.0,2,0,0,7,1,38,0.0
25.0,13.0,1.0,0.0,0.0,0.0,40.0,2,0,4,3,1,38,0.0
50.0,4.0,1.0,1.0,0.0,0.0,40.0,2,0,2,2,0,6,0.0
36.0,13.0,1.0,1.0,0.0,0.0,45.0,2,0,2,9,0,38,0.0
31.0,9.0,1.0,0.0,0.0,0.0,40.0,2,0,0,9,1,38,0.0
29.0,13.0,1.0,1.0,0.0,0.0,56.0,1,0,4,10,1,38,0.0
21.0,10.0,1.0,1.0,0.0,0.0,45.0,2,0,4,11,3,38,0.0
27.0,13.0,0.0,0.0,0.0,0.0,40.0,2,0,4,12,4,38,0.0
65.0,9.0,1.0,1.0,0.0,0.0,16.0,2,0,2,13,0,38,0.0
37.0,13.0,1.0,0.0,0.0,0.0,60.0,3,0,0,11,1,38,0.0
24.0,9.0,1.0,1.0,0.0,0.0,40.0,2,0,4,2,3,38,0.0
38.0,9.0,1.0,1.0,0.0,0.0,80.0,2,0,0,11,1,38,0.0
48.0,13.0,1.0,1.0,7688.0,0.0,40.0,2,0,2,0,0,38,1.0
21.0,10.0,0.0,0.0,0.0,0.0,25.0,2,0,4,7,1,38,0.0
31.0,9.0,1.0,1.0,0.0,0.0,45.0,2,0,2,13,0,38,1.0
55.0,9.0,1.0,1.0,4386.0,0.0,40.0,2,0,2,11,0,38,1.0
24.0,10.0,0.0,0.0,0.0,0.0,40.0,2,0,2,0,5,24,0.0
43.0,9.0,1.0,0.0,0.0,0.0,40.0,2,0,0,0,1,38,0.0
26.0,12.0,1.0,1.0,0.0,0.0,45.0,2,0,4,12,1,38,0.0
46.0,12.0,1.0,0.0,0.0,0.0,33.0,2,0,4,9,1,38,0.0
35.0,12.0,1.0,1.0,0.0,0.0,40.0,2,0,2,0,0,38,1.0
41.0,10.0,1.0,1.0,0.0,0.0,54.0,3,0,2,4,0,38,1.0
26.0,13.0,1.0,1.0,0.0,0.0,40.0,2,0,4,11,1,38,0.0
34.0,14.0,0.0,1.0,7298.0,0.0,35.0,2,0,2,3,0,35,1.0
36.0,13.0,0.0,0.0,0.0,0.0,40.0,4,0,0,9,1,38,1.0
22.0,10.0,1.0,1.0,0.0,0.0,15.0,2,0,4,11,3,38,0.0
24.0,10.0,1.0,1.0,0.0,0.0,40.0,2,0,4,6,1,38,0.0
77.0,10.0,1.0,1.0,0.0,0.0,40.0,4,0,2,11,0,38,0.0
22.0,3.0,1.0,0.0,0.0,0.0,40.0,2,0,2,6,2,25,0.0
29.0,10.0,1.0,0.0,0.0,0.0,40.0,2,0,4,12,1,38,0.0
62.0,9.0,1.0,0.0,0.0,0.0,24.0,2,0,6,7,1,38,0.0
39.0,9.0,1.0,1.0,0.0,0.0,40.0,4,0,2,3,0,38,0.0
43.0,10.0,1.0,1.0,0.0,1485.0,50.0,2,0,2,2,0,38,0.0
35.0,9.0,1.0,1.0,0.0,0.0,45.0,2,0,0,13,1,38,0.0
29.0,7.0,1.0,0.0,0.0,0.0,40.0,2,0,4,3,1,38,0.0
76.0,14.0,1.0,1.0,0.0,0.0,10.0,4,0,2,2,0,38,0.0
63.0,9.0,1.0,1.0,0.0,0.0,45.0,4,0,2,4,0,38,0.0
43.0,10.0,1.0,0.0,0.0,1887.0,50.0,2,0,2,9,5,38,1.0
58.0,9.0,1.0,1.0,0.0,0.0,40.0,4,0,2,5,0,38,0.0
66.0,9.0,1.0,1.0,2050.0,0.0,55.0,2,0,4,13,1,38,0.0
41.0,10.0,0.0,1.0,0.0,0.0,45.0,2,0,4,2,1,38,0.0
26.0,13.0,1.0,1.0,0.0,0.0,40.0,2,0,4,0,1,38,0.0
47.0,11.0,1.0,1.0,0.0,0.0,40.0,2,0,4,7,1,38,0.0
55.0,6.0,1.0,1.0,0.0,0.0,40.0,1,0,2,0,0,38,0.0
53.0,9.0,1.0,1.0,0.0,0.0,40.0,2,0,2,13,0,38,0.0
17.0,3.0,1.0,1.0,0.0,0.0,48.0,2,0,4,7,2,25,0.0
30.0,9.0,1.0,1.0,0.0,0.0,40.0,2,0,4,2,2,38,0.0
49.0,14.0,1.0,1.0,0.0,0.0,60.0,2,0,4,9,1,38,0.0
